"base_repo_original","repo_stars","repo_forks","repo_createdAt","repo_updatedAt","repo_url","is_mozilla_repo"
"mozilla/pdf.js",43373,9492,"2011-04-26T06:32:03Z","2023-08-07T11:21:11Z","https://mozilla.github.io/pdf.js/","false"
"mozilla/pluotsorbet",231,49,"2014-07-11T06:23:27Z","2023-07-30T18:26:21Z","","false"
"mozilla-b2g/gaia",2099,2305,"2011-09-03T01:38:46Z","2023-07-24T23:00:57Z","https://wiki.mozilla.org/B2G","false"
"gkatsev/vtt.js",63,41,"2014-11-21T19:49:09Z","2023-07-21T16:25:35Z","http://dev.w3.org/html5/webvtt/","false"
"andreasgal/dom.js",472,39,"2011-03-18T23:02:06Z","2023-06-21T18:52:04Z","","false"
"cisco/openh264",5069,1771,"2013-10-27T20:20:31Z","2023-08-07T13:15:28Z",,"false"
"danielrh/losslessh264",1059,146,"2015-05-13T03:55:23Z","2023-08-01T19:58:10Z","https://github.com/dropbox/avrecode","false"
"xiph/daala",530,103,"2014-08-19T04:41:00Z","2023-08-05T03:01:53Z","https://xiph.org/daala/","false"
"google/gemmlowp",1685,452,"2015-07-06T21:15:00Z","2023-08-07T06:44:51Z","","false"
"mozilla/shumway",3697,433,"2011-12-18T15:22:51Z","2023-07-30T23:16:39Z","","false"
"andreasgal/zipfile.js",62,9,"2013-06-01T17:35:37Z","2023-06-15T15:05:10Z",,"false"
"peterbraden/node-opencv",4312,868,"2012-01-14T22:59:50Z","2023-08-05T01:52:48Z","","false"
"rust-windowing/glutin",1868,463,"2014-07-27T07:13:16Z","2023-08-06T22:38:02Z","","false"
"servo/rust-azure",57,59,"2012-04-11T00:57:13Z","2023-05-05T07:03:36Z","","false"
"tomaka/winit",3585,740,"2016-02-23T11:17:06Z","2023-08-07T09:06:55Z","https://docs.rs/winit/","false"
"pouchdb/pouchdb",15865,1470,"2010-06-10T18:34:24Z","2023-08-07T10:03:03Z","https://pouchdb.com/","false"
"rust-lang/rust",84135,11162,"2010-06-16T20:39:03Z","2023-08-07T13:15:33Z","https://www.rust-lang.org","false"
"rust-random/rand",1418,406,"2015-02-03T05:59:32Z","2023-08-03T04:26:29Z","https://crates.io/crates/rand","false"
"servo/servo",23512,2745,"2012-02-08T19:07:25Z","2023-08-07T09:20:39Z","https://servo.org/","false"
"silklabs/silk",165,29,"2016-04-16T02:31:25Z","2023-04-26T09:00:52Z","","false"
"shelljs/shelljs",13900,760,"2012-03-02T17:04:47Z","2023-08-07T10:43:05Z","https://www.npmjs.com/package/shelljs","false"
"arturadib/agility",545,74,"2011-06-21T20:44:05Z","2023-06-27T04:31:41Z","http://agilityjs.com","false"
