"author_name_top","base_repo_original","commit_count","commit_sec_min","commit_sec_max"
"Adil Allawi","mozilla/pdf.js",46,1309270478,1350991187
"Andreas Gal","andreasgal/dom.js",19,1300489449,1313022305
"Andreas Gal","andreasgal/zipfile.js",6,1370108138,1407001231
"Andreas Gal","cisco/openh264",11,1386948895,1388890220
"Andreas Gal","danielrh/losslessh264",11,1386948895,1388890220
"Andreas Gal","google/gemmlowp",7,1492798937,1508847008
"Andreas Gal","mozilla-b2g/gaia",118,1316221071,1333133898
"Andreas Gal","mozilla/pdf.js",436,1303799555,1344388068
"Andreas Gal","mozilla/pluotsorbet",730,1404635376,1423556703
"Andreas Gal","mozilla/shumway",7,1325512533,1335203348
"Andreas Gal","peterbraden/node-opencv",4,1460648175,1473290171
"Andreas Gal","pouchdb/pouchdb",1,1374120913,1374120913
"Andreas Gal","rust-lang/rust",1,1317015250,1317015250
"Andreas Gal","rust-random/rand",1,1317015250,1317015250
"Andreas Gal","rust-windowing/glutin",2,1424727726,1424731817
"Andreas Gal","rust-windowing/winit",2,1424727726,1424731817
"Andreas Gal","servo/rust-azure",2,1424425275,1424467738
"Andreas Gal","servo/servo",1,1424425554,1424425554
"Andreas Gal","silklabs/silk",1,1480807090,1480807090
"Andreas Gal","videojs/vtt.js",50,1373419334,1374469095
"Andreas Gal","xiph/daala",9,1408989944,1411420818
"Artur Adib","NZKoz/rails_xss",1,1355935072,1355935072
"Artur Adib","amdjs/backbone",1,1308155555,1308155555
"Artur Adib","arturadib/agility",189,1308342764,1587407090
"Artur Adib","arturadib/node-five",12,1333747886,1346937290
"Artur Adib","arturadib/node-qt",19,1333741868,1402846550
"Artur Adib","arturadib/strapdown",46,1344697505,1424027149
"Artur Adib","jashkenas/backbone",1,1308155555,1308155555
"Artur Adib","jruby/warbler",1,1367597821,1367597821
"Artur Adib","mozilla/pdf.js",373,1312234217,1349209191
"Artur Adib","nodegit/nodegit",1,1433086631,1433086631
"Artur Adib","shelljs/shelljs",191,1330651364,1452567165
"Artur Adib","unknownbrackets/maxcso",1,1349299748,1349299748
"Brendan Dahl","WebAssembly/binaryen",3,1662157303,1667939055
"Brendan Dahl","brendandahl/pdf.js.utils",22,1375912832,1637201543
"Brendan Dahl","mdn/serviceworker-cookbook",19,1446157020,1448993276
"Brendan Dahl","mozilla/oghliner",22,1443040106,1446500414
"Brendan Dahl","mozilla/pdf.js",1302,1312666878,1646440997
"Brendan Dahl","mozilla/pdfjs-dist",6,1486219995,1641517927
"Brendan Dahl","mozilla/platform-status",57,1444252899,1450293829
"Brendan Dahl","mozilla/pluotsorbet",484,1411167897,1483661495
"Brendan Dahl","mozilla/release-services",1,1498068429,1498068429
"Brendan Dahl","mozilla/treeherder",1,1575914226,1575914226
