"author_name","repo","commit_count","commit_sec_min","commit_sec_max"
"Alisdair McDiarmid","hashicorp/hcl",72,1585168558,1663943445
"Alisdair McDiarmid","hashicorp/terraform",743,1540419643,1663951618
"Alisdair McDiarmid","hashicorp/terraform-config-inspect",7,1587383143,1637009955
"Alisdair McDiarmid","hashicorp/terraform-json",2,1631651715,1647245014
"Armon Dadgar","armon/bloomd",515,1327809607,1533748699
"Armon Dadgar","armon/circbuf",7,1398802583,1550171132
"Armon Dadgar","armon/consul-api",34,1402609410,1517602615
"Armon Dadgar","armon/consul-kv",10,1398532504,1422661939
"Armon Dadgar","armon/erl-rstar",106,1353112295,1531270596
"Armon Dadgar","armon/go-chord",96,1373916824,1483466606
"Armon Dadgar","armon/go-proxyproto",7,1394239427,1549896856
"Armon Dadgar","armon/go-radix",22,1406855185,1668786346
"Armon Dadgar","armon/go-socks5",35,1390434591,1472841757
"Armon Dadgar","armon/hlld",120,1368221303,1613066244
"Armon Dadgar","armon/libart",47,1367955970,1613066468
"Armon Dadgar","armon/pypred",247,1360262326,1533748867
"Armon Dadgar","armon/relay",45,1375754396,1440725030
"Armon Dadgar","basho/riak-python-client",16,1329248524,1331081619
"Armon Dadgar","briandowns/openweathermap",3,1413648583,1413650553
"Armon Dadgar","cython/cython",2,1315281399,1315281399
"Armon Dadgar","gopheracademy/gopheracademy-web",2,1418860048,1418870231
"Armon Dadgar","hashicorp/atlas-go",3,1418085323,1418087187
"Armon Dadgar","hashicorp/best-practices",1,1517441208,1517441208
"Armon Dadgar","hashicorp/consul",1241,1383603327,1533756383
"Armon Dadgar","hashicorp/consul-haproxy",36,1404340200,1413836344
"Armon Dadgar","hashicorp/consul-replicate",21,1402599766,1439313807
"Armon Dadgar","hashicorp/consul-template",24,1416526772,1449514096
"Armon Dadgar","hashicorp/envconsul",14,1403846825,1415747315
"Armon Dadgar","hashicorp/go-checkpoint",4,1409690728,1416334360
"Armon Dadgar","hashicorp/go-immutable-radix",28,1433186267,1456125000
"Armon Dadgar","hashicorp/go-memdb",16,1434495269,1456171358
"Armon Dadgar","hashicorp/go-syslog",7,1399056414,1402596680
"Armon Dadgar","hashicorp/golang-lru",44,1407363293,1517529157
"Armon Dadgar","hashicorp/logutils",2,1386180268,1414026611
"Armon Dadgar","hashicorp/mdns",33,1391024358,1426614176
"Armon Dadgar","hashicorp/memberlist",264,1378760367,1533772420
"Armon Dadgar","hashicorp/net-rpc-msgpackrpc",2,1413596257,1422995098
"Armon Dadgar","hashicorp/nomad",753,1433154060,1505451917
"Armon Dadgar","hashicorp/otto",5,1443425388,1471653014
"Armon Dadgar","hashicorp/packer",9,1378404577,1418167776
"Armon Dadgar","hashicorp/raft",400,1383612080,1458587821
"Armon Dadgar","hashicorp/raft-boltdb",2,1422671631,1507648690
"Armon Dadgar","hashicorp/raft-mdb",14,1397937534,1438901673
"Armon Dadgar","hashicorp/serf",604,1380665570,1533757623
"Armon Dadgar","hashicorp/terraform",360,1404758133,1421788825
"Armon Dadgar","hashicorp/vagrant",1,1498606139,1498606139
"Armon Dadgar","hashicorp/vault",653,1424823359,1498587766
"Armon Dadgar","hashicorp/vault-ssh-helper",1,1436761336,1436761336
"Armon Dadgar","hashicorp/yamux",61,1400785726,1539366658
"Armon Dadgar","kelseyhightower/confd",12,1398569312,1398574320
