"repo","repo_stars","repo_forks","repo_createdAt","repo_updatedAt","repo_total_commits","repo_url","repo_description","repo_languages"
"hashicorp/terraform",38820,9043,"2014-03-13T22:25:48Z","2023-09-19T07:51:03Z",31608,"https://www.terraform.io/","Terraform enables you to safely and predictably create, change, and improve infrastructure. It is a source-available tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.","Makefile,Go,Shell,HTML,Dockerfile,HCL,MDX"
"hashicorp/hcl",4815,556,"2014-07-31T21:09:00Z","2023-09-09T08:52:29Z",1389,"","HCL is the HashiCorp configuration language.","Makefile,Go,HCL,Shell,Python,Batchfile,Ragel,Ruby,Perl"
"hashicorp/terraform-config-inspect",321,67,"2018-02-21T21:35:26Z","2023-08-29T18:34:38Z",103,,"A helper library for shallow inspection of Terraform configurations","Go,HCL"
"hashicorp/terraform-json",135,25,"2019-01-21T22:39:12Z","2023-09-06T20:23:40Z",192,,"Helper types for the Terraform external data representation","Go,Makefile,HCL"
"hashicorp/consul",26881,4376,"2013-11-04T22:15:27Z","2023-09-10T02:34:20Z",20455,"https://www.consul.io","Consul is a distributed, highly available, and data center aware solution to connect and configure applications across dynamic, distributed infrastructure.","Go,Makefile,Shell,HTML,JavaScript,Gherkin,Dockerfile,HCL,Handlebars,SCSS,MDX"
"hashicorp/nomad",13951,1866,"2015-06-01T10:21:00Z","2023-09-12T12:48:52Z",25045,"https://www.nomadproject.io/","Nomad is an easy-to-use, flexible, and performant workload orchestrator that can deploy a mix of microservice, batch, containerized, and non-containerized applications. Nomad is easy to operate and scale and has native Consul and Vault integrations.","Makefile,Go,Shell,Python,Java,HTML,JavaScript,HCL,Dockerfile,PowerShell,SCSS,Handlebars,MDX"
"hashicorp/vault",28396,4001,"2015-02-25T00:15:59Z","2023-09-19T07:46:01Z",18205,"https://www.vaultproject.io/","A tool for secrets management, encryption as a service, and privileged access management","Go,Shell,Makefile,Batchfile,HCL,JavaScript,HTML,CSS,Dockerfile,SCSS,Handlebars,Python,TypeScript,MDX"
"hashicorp/serf",5693,592,"2013-10-01T22:12:50Z","2023-09-13T10:05:07Z",1876,"https://www.serf.io/","Service orchestration and management tool.","Makefile,Go,Ruby,Shell,HTML,JavaScript,Dockerfile,SCSS,HCL"
"armon/bloomd",1228,139,"2012-02-12T02:22:46Z","2023-09-04T16:25:56Z",550,"http://armon.github.io/bloomd","C network daemon for bloom filters","Python,C,Dockerfile"
"hashicorp/raft",7386,929,"2013-11-05T00:41:20Z","2023-09-12T16:05:18Z",1009,,"Golang implementation of the Raft consensus protocol","Makefile,Go,Shell"
"hashicorp/memberlist",3304,422,"2013-09-09T20:59:27Z","2023-09-12T08:47:41Z",686,,"Golang package for gossip based membership and failure detection","Makefile,Go,Shell"
"armon/pypred",54,22,"2013-02-08T23:26:19Z","2023-04-19T13:59:27Z",264,,"A Python library for simple evaluation of natural language predicates","Python"
"armon/hlld",445,41,"2013-05-10T21:25:27Z","2023-09-08T16:39:21Z",128,"http://armon.github.io/hlld/","C network daemon for HyperLogLogs","Python,C,C++"
"armon/erl-rstar",58,19,"2012-11-17T00:31:35Z","2023-01-31T09:28:08Z",111,,"An Erlang implementation of the R*-tree spacial data structure","Erlang"
"armon/go-chord",129,28,"2013-07-07T22:14:03Z","2023-04-09T01:40:32Z",99,,"Golang implementation of the Chord protocol","Go,Makefile"
"hashicorp/yamux",2003,225,"2014-05-22T19:08:46Z","2023-09-14T09:48:25Z",137,,"Golang connection multiplexing library","Go"
"armon/libart",702,146,"2013-05-07T19:45:03Z","2023-09-12T07:47:43Z",76,"","Adaptive Radix Trees implemented in C","Python,C,Makefile"
"armon/relay",131,21,"2013-08-06T01:59:56Z","2023-09-09T14:44:40Z",88,,"Golang framework for simple message passing using an AMQP broker","Makefile,Go"
"hashicorp/golang-lru",3695,473,"2014-08-06T22:14:53Z","2023-09-08T16:49:36Z",131,,"Golang LRU cache","Go"
"hashicorp/consul-haproxy",279,43,"2014-07-02T22:30:00Z","2023-08-22T19:03:43Z",45,,"Consul HAProxy connector for real-time configuration","Go,VCL"
